Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Age,Nature,Observation Status,Reporting Type,Sex,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2023,20.38,2023,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2023,13.09,2023,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2023,28.13,2023,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",4,Afghanistan,2014,35.06,2014,,,,,HIES - Households Living Conditions Survey,,Repository: ILO-STATISTICS - Micro data processing,15-24,C,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",4,Afghanistan,2014,12.75,2014,,,,,HIES - Households Living Conditions Survey,,Repository: ILO-STATISTICS - Micro data processing,15-24,C,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",4,Afghanistan,2014,57.87,2014,,,,,HIES - Households Living Conditions Survey,,Repository: ILO-STATISTICS - Micro data processing,15-24,C,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",4,Afghanistan,2017,67.18,2017,,,,,HIES - Households Living Conditions Survey,,Repository: ILO-STATISTICS - Micro data processing,15-24,C,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",4,Afghanistan,2017,18.64,2017,,,,,HIES - Households Living Conditions Survey,,Repository: ILO-STATISTICS - Micro data processing,15-24,C,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",4,Afghanistan,2017,42.84,2017,,,,,HIES - Households Living Conditions Survey,,Repository: ILO-STATISTICS - Micro data processing,15-24,C,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",4,Afghanistan,2020,53.76,2020,,,,,LFS - Labour Force Survey,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,15-24,C,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
